experiment	biosample	overall_flag	read_flag	is_perturbation	is_perturbation_treated	is_perturbation_untreated	is_uncapped	flags	total_reads	pl_reads	mn_reads	perturbation_keywords	perturbation_fields	treatment_keywords	treatment_fields	uncapped_fields	reasons
ENCSR604EBH	K562	yellow	yellow	false	false	false	false	yellow_low_reads	14200503	7133512	7066991		{}		{}	{}	"[{""flag"": ""yellow"", ""reason"": ""total reads 14,200,503 < 20,000,000"", ""rule"": ""total_reads < yellow_read_threshold"", ""threshold"": 20000000, ""value"": 14200503}]"
ENCSR124AWE	SUDHL5	yellow	yellow	false	false	false	false	yellow_low_reads	18291501	9170046	9121455		{}		{}	{}	"[{""flag"": ""yellow"", ""reason"": ""total reads 18,291,501 < 20,000,000"", ""rule"": ""total_reads < yellow_read_threshold"", ""threshold"": 20000000, ""value"": 18291501}]"
ENCSR548GOG	stomach	green	green	false	false	false	false	green	28186881	14233803	13953078		{}		{}	{}	
ENCSR973QQI	ReNcell CX	red	yellow	false	false	false	false	yellow_low_reads;red_manual	17475039	8793246	8681793		{}		{}	{}	"[{""flag"": ""yellow"", ""reason"": ""total reads 17,475,039 < 20,000,000"", ""rule"": ""total_reads < yellow_read_threshold"", ""threshold"": 20000000, ""value"": 17475039}, {""flag"": ""red"", ""reason"": ""poor TSS-positioning"", ""rule"": ""manual red-list""}]"
ENCSR473KVF	HEK293T	green	green	true	false	true	false	perturbation_untreated	61388371	30594669	30793702	crispr;genetically modified	"{""biosample_summary"": [""crispr"", ""genetically modified""]}"		{}	{}	"[{""fields"": {""biosample_summary"": [""crispr"", ""genetically modified""]}, ""flag"": ""perturb"", ""reason"": ""metadata matched genetic-perturbation keywords with no active-treatment keyword: crispr, genetically modified"", ""rule"": ""metadata perturbation keyword match""}]"
ENCSR382HFH	peripheral blood mononuclear cell	green	green	false	false	false	false	green	20936078	10582528	10353550		{}		{}	{}	
ENCSR624CVP	peritoneum	red	red	false	false	false	false	red_low_reads	2280051	1156851	1123200		{}		{}	{}	"[{""flag"": ""red"", ""reason"": ""total reads 2,280,051 < 10,000,000"", ""rule"": ""total_reads < red_read_threshold"", ""threshold"": 10000000, ""value"": 2280051}]"
ENCSR575EOB	Metastatic Breast Carcinoma in the Brain	yellow	yellow	false	false	false	false	yellow_low_reads	19490771	9866497	9624274		{}		{}	{}	"[{""flag"": ""yellow"", ""reason"": ""total reads 19,490,771 < 20,000,000"", ""rule"": ""total_reads < yellow_read_threshold"", ""threshold"": 20000000, ""value"": 19490771}]"
ENCSR701MOE	T-cell	yellow	yellow	false	false	false	false	yellow_low_reads	18470624	9305776	9164848		{}		{}	{}	"[{""flag"": ""yellow"", ""reason"": ""total reads 18,470,624 < 20,000,000"", ""rule"": ""total_reads < yellow_read_threshold"", ""threshold"": 20000000, ""value"": 18470624}]"
ENCSR657PSE	aorta	red	red	false	false	false	false	red_low_reads	8908600	4515745	4392855		{}		{}	{}	"[{""flag"": ""red"", ""reason"": ""total reads 8,908,600 < 10,000,000"", ""rule"": ""total_reads < red_read_threshold"", ""threshold"": 10000000, ""value"": 8908600}]"
ENCSR472ETC	fallopian tube	green	green	false	false	false	false	green	43768839	21885831	21883008		{}		{}	{}	
ENCSR077MAX	tibial nerve	green	green	false	false	false	false	green	20161361	10056889	10104472		{}		{}	{}	
ENCSR426RMA	heart left ventricle	yellow	yellow	false	false	false	false	yellow_low_reads	19012650	9553430	9459220		{}		{}	{}	"[{""flag"": ""yellow"", ""reason"": ""total reads 19,012,650 < 20,000,000"", ""rule"": ""total_reads < yellow_read_threshold"", ""threshold"": 20000000, ""value"": 19012650}]"
ENCSR489FZB	T-cell	green	green	false	false	false	false	green	54754455	27432493	27321962		{}		{}	{}	
ENCSR683FOJ	mesenteric fat pad	red	red	false	false	false	false	red_low_reads	3728891	1880710	1848181		{}		{}	{}	"[{""flag"": ""red"", ""reason"": ""total reads 3,728,891 < 10,000,000"", ""rule"": ""total_reads < red_read_threshold"", ""threshold"": 10000000, ""value"": 3728891}]"
ENCSR683YVU	helper T cell	green	green	false	false	false	false	green	33540412	16771463	16768949		{}		{}	{}	
ENCSR574ZMF	ovary	green	green	false	false	false	false	green	54370914	27075701	27295213		{}		{}	{}	
ENCSR245UIS	Karpas-422	red	red	false	false	false	false	red_low_reads	9548225	4857682	4690543		{}		{}	{}	"[{""flag"": ""red"", ""reason"": ""total reads 9,548,225 < 10,000,000"", ""rule"": ""total_reads < red_read_threshold"", ""threshold"": 10000000, ""value"": 9548225}]"
ENCSR836XBB	rectum	green	green	false	false	false	false	green	83724920	42238114	41486806		{}		{}	{}	
ENCSR526QVD	ureter	green	green	false	false	false	false	green	20675719	10390867	10284852		{}		{}	{}	
ENCSR876AEQ	Metastatic Liver Carcinoma in the Adrenal Gland	yellow	yellow	false	false	false	false	yellow_low_reads	15418929	7646145	7772784		{}		{}	{}	"[{""flag"": ""yellow"", ""reason"": ""total reads 15,418,929 < 20,000,000"", ""rule"": ""total_reads < yellow_read_threshold"", ""threshold"": 20000000, ""value"": 15418929}]"
ENCSR229XTQ	skeletal muscle tissue	red	red	false	false	false	false	red_low_reads	7613105	3858395	3754710		{}		{}	{}	"[{""flag"": ""red"", ""reason"": ""total reads 7,613,105 < 10,000,000"", ""rule"": ""total_reads < red_read_threshold"", ""threshold"": 10000000, ""value"": 7613105}]"
ENCSR659YNL	left lung	green	green	false	false	false	false	green	34691465	17516233	17175232		{}		{}	{}	
ENCSR282IJP	neutrophil	red	red	false	false	false	false	red_low_reads	5211219	2631412	2579807		{}		{}	{}	"[{""flag"": ""red"", ""reason"": ""total reads 5,211,219 < 10,000,000"", ""rule"": ""total_reads < red_read_threshold"", ""threshold"": 10000000, ""value"": 5211219}]"
ENCSR888DKJ	Metastatic Breast Carcinoma in the Brain	red	red	false	false	false	false	red_low_reads	8746136	4389130	4357006		{}		{}	{}	"[{""flag"": ""red"", ""reason"": ""total reads 8,746,136 < 10,000,000"", ""rule"": ""total_reads < red_read_threshold"", ""threshold"": 10000000, ""value"": 8746136}]"
ENCSR754LBG	duodenum	green	green	false	false	false	false	green	21207155	10727656	10479499		{}		{}	{}	
ENCSR250REI	peripheral blood mononuclear cell	green	green	false	false	false	false	green	30920781	15523270	15397511		{}		{}	{}	
ENCSR180NBV	Metastatic Breast Carcinoma in the Brain	yellow	yellow	false	false	false	false	yellow_low_reads	10302609	5187687	5114922		{}		{}	{}	"[{""flag"": ""yellow"", ""reason"": ""total reads 10,302,609 < 20,000,000"", ""rule"": ""total_reads < yellow_read_threshold"", ""threshold"": 20000000, ""value"": 10302609}]"
ENCSR739MOQ	body of pancreas	green	green	false	false	false	false	green	29431496	14797231	14634265		{}		{}	{}	
ENCSR117JKC	trachea	green	green	false	false	false	false	green	26892197	13552409	13339788		{}		{}	{}	
ENCSR008TSD	Metastatic Breast Carcinoma in the Brain	green	green	false	false	false	false	green	33947354	17170487	16776867		{}		{}	{}	
ENCSR723JIC	peripheral blood mononuclear cell	green	green	false	false	false	false	green	30984362	15596966	15387396		{}		{}	{}	
ENCSR980TGS	Metastatic Breast Carcinoma in the Brain	green	green	false	false	false	false	green	33071486	16620442	16451044		{}		{}	{}	
ENCSR083AMN	B cell	green	green	false	false	false	false	green	49250210	24680772	24569438		{}		{}	{}	
ENCSR756TPG	K562	red	yellow	false	false	false	true	yellow_low_reads;red_uncapped	12746105	6471366	6274739		{}		{}	"{""description"": [""uncapped""], ""library_construction"": [""uncapped""]}"	"[{""flag"": ""yellow"", ""reason"": ""total reads 12,746,105 < 20,000,000"", ""rule"": ""total_reads < yellow_read_threshold"", ""threshold"": 20000000, ""value"": 12746105}, {""fields"": {""description"": [""uncapped""], ""library_construction"": [""uncapped""]}, ""flag"": ""red"", ""reason"": ""uncapped experiment"", ""rule"": ""metadata contains uncapped""}]"
ENCSR089CQL	T-cell	green	green	false	false	false	false	green	25163674	12721332	12442342		{}		{}	{}	
ENCSR294JPW	left ventricle myocardium	green	green	false	false	false	false	green	29054226	14573483	14480743		{}		{}	{}	
ENCSR321WCE	neural crest cell	green	green	false	false	false	false	green	36499062	18358744	18140318		{}		{}	{}	
ENCSR357VUN	ovary	green	green	false	false	false	false	green	85670630	42775018	42895612		{}		{}	{}	
ENCSR393PGX	breast epithelium	yellow	yellow	false	false	false	false	yellow_low_reads	14422367	7273495	7148872		{}		{}	{}	"[{""flag"": ""yellow"", ""reason"": ""total reads 14,422,367 < 20,000,000"", ""rule"": ""total_reads < yellow_read_threshold"", ""threshold"": 20000000, ""value"": 14422367}]"
ENCSR489BCG	pancreas	green	green	false	false	false	false	green	33243271	16751628	16491643		{}		{}	{}	
ENCSR243MVI	liver	red	red	false	false	false	false	red_low_reads	7310110	3650765	3659345		{}		{}	{}	"[{""flag"": ""red"", ""reason"": ""total reads 7,310,110 < 10,000,000"", ""rule"": ""total_reads < red_read_threshold"", ""threshold"": 10000000, ""value"": 7310110}]"
ENCSR104MSL	pancreas	yellow	yellow	false	false	false	false	yellow_low_reads	15924855	8003230	7921625		{}		{}	{}	"[{""flag"": ""yellow"", ""reason"": ""total reads 15,924,855 < 20,000,000"", ""rule"": ""total_reads < yellow_read_threshold"", ""threshold"": 20000000, ""value"": 15924855}]"
ENCSR928ZWP	lower leg skin	green	green	false	false	false	false	green	32582557	16358801	16223756		{}		{}	{}	
ENCSR331UGM	liver	green	green	false	false	false	false	green	51683549	25809699	25873850		{}		{}	{}	
ENCSR149WMX	Metastatic Liver Carcinoma in the Lung	green	green	false	false	false	false	green	20024519	10041076	9983443		{}		{}	{}	
ENCSR633OWM	pulmonary lymph node	green	green	false	false	false	false	green	31736493	15908233	15828260		{}		{}	{}	
ENCSR384HWB	ascending aorta	yellow	yellow	false	false	false	false	yellow_low_reads	10502500	5311053	5191447		{}		{}	{}	"[{""flag"": ""yellow"", ""reason"": ""total reads 10,502,500 < 20,000,000"", ""rule"": ""total_reads < yellow_read_threshold"", ""threshold"": 20000000, ""value"": 10502500}]"
ENCSR347PQY	upper lobe of left lung	yellow	yellow	false	false	false	false	yellow_low_reads	19572464	9758696	9813768		{}		{}	{}	"[{""flag"": ""yellow"", ""reason"": ""total reads 19,572,464 < 20,000,000"", ""rule"": ""total_reads < yellow_read_threshold"", ""threshold"": 20000000, ""value"": 19572464}]"
ENCSR335ZMZ	OCI-LY7	yellow	yellow	false	false	false	false	yellow_low_reads	19164560	9604955	9559605		{}		{}	{}	"[{""flag"": ""yellow"", ""reason"": ""total reads 19,164,560 < 20,000,000"", ""rule"": ""total_reads < yellow_read_threshold"", ""threshold"": 20000000, ""value"": 19164560}]"
ENCSR657RPS	uterus	green	green	false	false	false	false	green	27594048	13811824	13782224		{}		{}	{}	
ENCSR149ZRX	K562	red	yellow	false	false	false	true	yellow_low_reads;red_uncapped	11216863	5687168	5529695		{}		{}	"{""description"": [""uncapped""], ""library_construction"": [""uncapped""]}"	"[{""flag"": ""yellow"", ""reason"": ""total reads 11,216,863 < 20,000,000"", ""rule"": ""total_reads < yellow_read_threshold"", ""threshold"": 20000000, ""value"": 11216863}, {""fields"": {""description"": [""uncapped""], ""library_construction"": [""uncapped""]}, ""flag"": ""red"", ""reason"": ""uncapped experiment"", ""rule"": ""metadata contains uncapped""}]"
ENCSR834OVY	peripheral blood mononuclear cell	green	green	false	false	false	false	green	28722640	14431245	14291395		{}		{}	{}	
ENCSR262PWK	type B pancreatic cell	green	green	false	false	false	false	green	20590493	10415317	10175176		{}		{}	{}	
ENCSR300AAD	Metastatic Liver Carcinoma in the Adrenal Gland	yellow	yellow	false	false	false	false	yellow_low_reads	10747690	5324312	5423378		{}		{}	{}	"[{""flag"": ""yellow"", ""reason"": ""total reads 10,747,690 < 20,000,000"", ""rule"": ""total_reads < yellow_read_threshold"", ""threshold"": 20000000, ""value"": 10747690}]"
ENCSR900SLO	HCT116	green	green	true	false	true	false	perturbation_untreated	39472843	19826257	19646586	crispr;genetically modified	"{""biosample_summary"": [""crispr"", ""genetically modified""]}"		{}	{}	"[{""fields"": {""biosample_summary"": [""crispr"", ""genetically modified""]}, ""flag"": ""perturb"", ""reason"": ""metadata matched genetic-perturbation keywords with no active-treatment keyword: crispr, genetically modified"", ""rule"": ""metadata perturbation keyword match""}]"
ENCSR687HZX	Metastatic Breast Carcinoma in the Brain	green	green	false	false	false	false	green	51884823	25966959	25917864		{}		{}	{}	
ENCSR997YHR	lung	red	red	false	false	false	false	red_low_reads	7655506	3885366	3770140		{}		{}	{}	"[{""flag"": ""red"", ""reason"": ""total reads 7,655,506 < 10,000,000"", ""rule"": ""total_reads < red_read_threshold"", ""threshold"": 10000000, ""value"": 7655506}]"
ENCSR744JVA	pancreas	green	green	false	false	false	false	green	35552786	17943314	17609472		{}		{}	{}	
ENCSR338WJS	pancreas	green	green	false	false	false	false	green	33362683	16806356	16556327		{}		{}	{}	
