experiment	biosample	pl_reads	mn_reads	total_reads	profile_jsd	log_counts_pearson
ENCSR829KWG	natural killer cell	12691822	12548309	25240131	0.35246334757123676	0.5891440085002354
ENCSR380VKC	heart right ventricle	14796671	14549574	29346245	0.36290071266038076	0.7026432156562805
ENCSR220XSM	K562	22171427	21930403	44101830	0.33290392586163114	0.7427520155906677
ENCSR733DAS	HEK293T	33559859	33720487	67280346	0.3073262487139021	0.7450757367270333
ENCSR269FMG	liver	15824525	15640841	31465366	0.3879389081682478	0.6381520118032183
ENCSR995FAO	mucosa of descending colon	16105129	15881790	31986919	0.35952585084097727	0.7216643180165973
ENCSR443GRP	endodermal cell	17221162	16947883	34169045	0.3433024414948055	0.6886190176010132
ENCSR881RXX	anterior vena cava	10590010	10378529	20968539	0.3357731103897095	0.7014983892440796
ENCSR944DTY	SEM	16345322	16100426	32445748	0.3494801436151777	0.6123896241188049
ENCSR270EGA	left cardiac atrium	9700394	9600925	19301319	0.34567129611968994	0.7140441111155919
ENCSR368ARY	pulmonary artery	6845863	6658725	13504588	0.3478720017841884	0.6617526667458671
ENCSR521BLL	psoas muscle	7639494	7695919	15335413	0.36205683861460003	0.5732039979525975
ENCSR062QYF	cerebellum	23591993	23800540	47392533	0.3107925185135433	0.6821736523083278
ENCSR526XOQ	NALM6	17752759	17677095	35429854	0.3609726982457297	0.6321652446474347
ENCSR386UFU	peripheral blood mononuclear cell	11792912	11604646	23397558	0.4199561136109488	0.6667695726667132
ENCSR795NHV	peripheral blood mononuclear cell	5140752	5101656	10242408	0.414886793919972	0.6905528136662075
ENCSR255VLW	jejunum	15334201	15064779	30398980	0.3596407558236803	0.7260951144354684
ENCSR087CGY	ovary	21159777	21318517	42478294	0.3404194244316646	0.716828967843737
ENCSR374RDU	breast	10287080	10304383	20591463	0.34411586608205524	0.6981295687811715
ENCSR219IHS	A549	4575957	4482460	9058417	0.3571908048221043	0.6766483272824969
ENCSR683YIA	Pfeiffer	12466761	12456240	24923001	0.35188845651490347	0.5302185586520604
ENCSR810UBG	Metastatic Breast Carcinoma in the Ovary	13260645	13310089	26570734	0.3725308265004839	0.660784125328064
ENCSR959JOB	right ventricle myocardium	14651837	14547991	29199828	0.3563101291656494	0.7238162926265171
ENCSR431OQI	parotid gland	7157674	7258828	14416502	0.3512208163738251	0.5927641987800598
ENCSR353JON	spinal cord	112859	114433	227292	0.45410641602107454	0.24160052410193852
ENCSR374OGG	pancreas	16096336	15798564	31894900	0.356783641236169	0.7309696504047939
ENCSR528FMA	helper T cell	26238050	26053709	52291759	0.3445937420640673	0.5736035449164254
ENCSR500IHG	breast	11208000	10996778	22204778	0.3481072017124721	0.7056587082999093
ENCSR098LLB	endothelial cell of umbilical vein	15692384	15581835	31274219	0.3269974631922586	0.6952759282929557
ENCSR046BCI	A673	18257871	17978342	36236213	0.34078056471688406	0.7158496465001788
ENCSR935RNW	Calu3	23221800	22848269	46070069	0.32434776425361633	0.6993170721190316
ENCSR799DGV	MCF 10A	46145728	46257993	92403721	0.326138687985284	0.7481570073536464
ENCSR261KBX	K562	9605200	9505498	19110698	0.3334742358752659	0.6705612625394549
ENCSR100LIJ	Caco-2	21378407	21184659	42563066	0.3164649946349008	0.7043564319610596
